Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","138","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","101","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","16.8","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","4.5","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","2.8","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0.5","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","0.05","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","0.05","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","1.17","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","0","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","0.17","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","0.11","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","0.07","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0.1","A","Official figure"
"TM","Detailed trade matrix","048","Bahrain","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","0.16","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","1140","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","1089","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","649","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","972","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","1177.4","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","3109.9","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","578.2","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","716.61","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","968.44","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","1063.21","A","Official figure"
"TM","Detailed trade matrix","056","Belgium","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","630.53","A","Official figure"
"TM","Detailed trade matrix","072","Botswana","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","55","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","42473","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","33210","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","32680","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","30756","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","30324.15","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","24928.3","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","27102.94","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","22909.83","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","23595.32","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","21039.6","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","23331.53","A","Official figure"
"TM","Detailed trade matrix","096","Brunei Darussalam","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","0","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","2","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","12","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","15.5","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","23.32","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","40.21","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","34.44","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","36.25","A","Official figure"
"TM","Detailed trade matrix","100","Bulgaria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","28.96","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","1","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","0.28","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","11","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","4","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","14","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","13","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","9.6","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","17.4","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","7.75","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","14.15","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","41.93","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","53.23","A","Official figure"
"TM","Detailed trade matrix","191","Croatia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","64.56","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","35","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","2","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","2","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","6","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","34.8","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","2.7","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","0.61","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0.24","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","0.2","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","1.06","A","Official figure"
"TM","Detailed trade matrix","203","Czechia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","0.81","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","2549","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","3374","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3177","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","2282","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","2477.9","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","2600.2","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","1588.57","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","1861.63","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","1960.56","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","1925.79","A","Official figure"
"TM","Detailed trade matrix","208","Denmark","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","3045.64","A","Official figure"
"TM","Detailed trade matrix","214","Dominican Republic","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","0.06","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","3","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","6","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","3","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","6","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","12.2","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","21.19","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","9.7","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","0.14","A","Official figure"
"TM","Detailed trade matrix","233","Estonia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","0.05","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","0","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","0","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","0","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","0","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","0.01","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","0","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","0.01","A","Official figure"
"TM","Detailed trade matrix","246","Finland","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","0.01","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","800","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","2982","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3562","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","700","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","1388.5","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","4685.6","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","2832.92","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","4619.55","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","3273.54","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","2051.96","A","Official figure"
"TM","Detailed trade matrix","250","France","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","4173.12","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","1056","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","1115","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","762","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","885","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","552.7","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","442.4","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","406.52","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","1007.13","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","1284.68","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","1854.1","A","Official figure"
"TM","Detailed trade matrix","276","Germany","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","2026.08","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","2","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","3","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","14","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","13","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","11.7","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","13.4","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","19.24","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2017","2017","t","23.83","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2018","2018","t","35.15","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2019","2019","t","42.45","A","Official figure"
"TM","Detailed trade matrix","300","Greece","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2020","2020","t","56.53","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","0","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","0","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","1","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","1","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","3.6","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","2.7","A","Official figure"
"TM","Detailed trade matrix","348","Hungary","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","1.64","A","Official figure"
